time,px,py,pz,qx,qy,qz,qw,Fx,Fy,Fz,Tx,Ty,Tz
0.035891056060791016,0.30489835143089294,-0.004069269634783268,0.48732900619506836,0.9999261322157373,-0.002826626476533201,-0.0032005014107967457,0.011379524195714195,0.25384625792503357,0.10985773056745529,-0.894237756729126,0.24937155842781067,0.0400150790810585,-0.40331459045410156
0.045223236083984375,0.30490031838417053,-0.004073732066899538,0.48733794689178467,0.9999261992759141,-0.0028330706998765647,-0.0031894631612926594,0.011374630833983197,0.2844714820384979,0.1476740688085556,-0.8250882625579834,0.2584683895111084,0.03625497594475746,-0.4040681719779968
0.05516695976257324,0.3049003481864929,-0.00407258840277791,0.48733651638031006,0.9999262216293052,-0.00282979586476348,-0.0031912833778467175,0.011373048145899203,0.2501249313354492,0.09917481243610382,-0.8274469971656799,0.2501901090145111,0.04467800259590149,-0.4042621850967407
0.06516575813293457,0.30489927530288696,-0.004070304334163666,0.4873318076133728,0.9999261769225223,-0.00282688166780359,-0.00319725606745078,0.011376617745976389,0.26716452836990356,0.11297057569026947,-0.8112741708755493,0.24947857856750488,0.042507320642471313,-0.40331071615219116
0.07524514198303223,0.3048987090587616,-0.004070353228598833,0.4873287081718445,0.9999261620202609,-0.0028264560640882015,-0.003201194270562205,0.011376597424916613,0.22232727706432343,0.11059700697660446,-0.8371996283531189,0.24859052896499634,0.0507170632481575,-0.40448248386383057
0.085479736328125,0.3048991560935974,-0.004069048445671797,0.4873272180557251,0.9999261769225223,-0.002823507935548391,-0.0032024273849782636,0.011375680766295602,0.2495885193347931,0.12418454140424728,-0.8753624558448792,0.2516416013240814,0.04232798516750336,-0.4042149484157562
0.09516716003417969,0.3048997223377228,-0.004067648202180862,0.48732951283454895,0.9999261992759141,-0.0028215470608692317,-0.003199980897683066,0.011374868338767748,0.2910524010658264,0.12620706856250763,-0.9028054475784302,0.2535708546638489,0.029776690527796745,-0.4042031168937683
0.1051790714263916,0.30490046739578247,-0.004072085954248905,0.4873347580432892,0.9999262067270445,-0.002829997203882748,-0.0031944378149098692,0.011373863748483395,0.3745920956134796,0.13032913208007812,-0.8592309951782227,0.2544226348400116,0.014365047216415405,-0.4030764698982239
0.11516332626342773,0.304900586605072,-0.0040736123919487,0.48733729124069214,0.9999261992759141,-0.0028334894766952087,-0.0031913312994166407,0.011375020155551599,0.30949074029922485,0.09193679690361023,-0.8548858761787415,0.24759770929813385,0.02966770902276039,-0.40183329582214355
0.12516427040100098,0.3048997223377228,-0.004071646369993687,0.48733580112457275,0.9999262216293052,-0.002827521407230498,-0.003191699360482126,0.011374055445580579,0.2728334367275238,0.10934357345104218,-0.8319111466407776,0.24915994703769684,0.04127755016088486,-0.4004771113395691
0.13516902923583984,0.3048990070819855,-0.004071730189025402,0.48733338713645935,0.999926214178175,-0.002825827460376886,-0.0031955359014463848,0.011373723023642984,0.23249228298664093,0.11409100145101547,-0.8337395191192627,0.2507850229740143,0.05119716748595238,-0.401729941368103
0.14516448974609375,0.30489882826805115,-0.004068323876708746,0.48732858896255493,0.9999262067270445,-0.0028274434453482732,-0.0032009426517841865,0.01137254210422156,0.25102922320365906,0.1289697289466858,-0.8233614563941956,0.2531238794326782,0.04686390236020088,-0.40130046010017395
0.15517425537109375,0.3048989772796631,-0.004069553688168526,0.4873290956020355,0.9999261843736529,-0.0028254688425211724,-0.003200388312654681,0.011374894121552981,0.24530836939811707,0.10413169860839844,-0.8503293991088867,0.24823491275310516,0.04503161460161209,-0.4024295210838318
